"","value"
"4325","there asleep—and, by jings, it was my old Jim!"
"4326",""
"4327","I waked him up, and I reckoned it was going to be a grand surprise to"
"4328","him to see me again, but it warn’t. He nearly cried he was so glad, but"
"4329","he warn’t surprised. Said he swum along behind me that night, and heard"
"4330","me yell every time, but dasn’t answer, because he didn’t want nobody to"
"4331","pick _him_ up and take him into slavery again. Says he:"
"4332",""
"4333","“I got hurt a little, en couldn’t swim fas’, so I wuz a considable ways"
"4334","behine you towards de las’; when you landed I reck’ned I could ketch up"
"4335","wid you on de lan’ ’dout havin’ to shout at you, but when I see dat"
"4336","house I begin to go slow. I ’uz off too fur to hear what dey say to"
"4337","you—I wuz ’fraid o’ de dogs; but when it ’uz all quiet agin I knowed"
"4338","you’s in de house, so I struck out for de woods to wait for day. Early"
"4339","in de mawnin’ some er de niggers come along, gwyne to de fields, en dey"
"4340","tuk me en showed me dis place, whah de dogs can’t track me on accounts"
"4341","o’ de water, en dey brings me truck to eat every night, en tells me how"
"4342","you’s a-gitt’n along.”"
"4343",""
"4344","“Why didn’t you tell my Jack to fetch me here sooner, Jim?”"
"4345",""
"4346","“Well, ’twarn’t no use to ’sturb you, Huck, tell we could do sumfn—but"
"4347","we’s all right now. I ben a-buyin’ pots en pans en vittles, as I got a"
"4348","chanst, en a-patchin’ up de raf’ nights when—”"
"4349",""
"4350","“_What_ raft, Jim?”"
"4351",""
"4352","“Our ole raf’.”"
"4353",""
"4354","“You mean to say our old raft warn’t smashed all to flinders?”"
"4355",""
"4356","“No, she warn’t. She was tore up a good deal—one en’ of her was; but"
"4357","dey warn’t no great harm done, on’y our traps was mos’ all los’. Ef we"
"4358","hadn’ dive’ so deep en swum so fur under water, en de night hadn’ ben"
"4359","so dark, en we warn’t so sk’yerd, en ben sich punkin-heads, as de"
"4360","sayin’ is, we’d a seed de raf’. But it’s jis’ as well we didn’t, ’kase"
"4361","now she’s all fixed up agin mos’ as good as new, en we’s got a new lot"
"4362","o’ stuff, in de place o’ what ’uz los’.”"
"4363",""
"4364","“Why, how did you get hold of the raft again, Jim—did you catch her?”"
"4365",""
"4366","“How I gwyne to ketch her en I out in de woods? No; some er de niggers"
"4367","foun’ her ketched on a snag along heah in de ben’, en dey hid her in a"
"4368","crick ’mongst de willows, en dey wuz so much jawin’ ’bout which un ’um"
"4369","she b’long to de mos’ dat I come to heah ’bout it pooty soon, so I ups"
"4370","en settles de trouble by tellin’ ’um she don’t b’long to none uv um,"
"4371","but to you en me; en I ast ’m if dey gwyne to grab a young white"
"4372","genlman’s propaty, en git a hid’n for it? Den I gin ’m ten cents"
"4373","apiece, en dey ’uz mighty well satisfied, en wisht some mo’ raf’s ’ud"
"4374","come along en make ’m rich agin. Dey’s mighty good to me, dese niggers"
"4375","is, en whatever I wants ’m to do fur me I doan’ have to ast ’m twice,"
"4376","honey. Dat Jack’s a good nigger, en pooty smart.”"
"4377",""
"4378","“Yes, he is. He ain’t ever told me you was here; told me to come, and"
"4379","he’d show me a lot of water-moccasins. If anything happens _he_ ain’t"
"4380","mixed up in it. He can say he never seen us together, and it ’ll be the"
"4381","truth.”"
"4382",""
"4383","I don’t want to talk much about the next day. I reckon I’ll cut it"
"4384","pretty short. I waked up about dawn, and was a-going to turn over and"
"4385","go to sleep again when I noticed how still it was—didn’t seem to be"
"4386","anybody stirring. That warn’t usual. Next I noticed that Buck was up"
"4387","and gone. Well, I gets up, a-wondering, and goes down stairs—nobody"
"4388","around; everything as still as a mouse. Just the same outside. Thinks"
"4389","I, what does it mean? Down by the wood-pile I comes across my Jack, and"
"4390","says:"
"4391",""
"4392","“What’s it all about?”"
"4393",""
"4394","Says he:"
"4395",""
"4396","“Don’t you know, Mars Jawge?”"
"4397",""
"4398","“No,” says I, “I don’t.”"
"4399",""
"4400","“Well, den, Miss Sophia’s run off! ’deed she has. She run off in de"
"4401","night some time—nobody don’t know jis’ when; run off to get married to"
"4402","dat young Harney Shepherdson, you know—leastways, so dey ’spec. De"
"4403","fambly foun’ it out ’bout half an hour ago—maybe a little mo’—en’ I"
"4404","_tell_ you dey warn’t no time los’. Sich another hurryin’ up guns en"
"4405","hosses _you_ never see! De women folks has gone for to stir up de"
"4406","relations, en ole Mars Saul en de boys tuck dey guns en rode up de"
"4407","river road for to try to ketch dat young man en kill him ’fo’ he kin"
"4408","git acrost de river wid Miss Sophia. I reck’n dey’s gwyne to be mighty"
"4409","rough times.”"
"4410",""
"4411","“Buck went off ’thout waking me up.”"
"4412",""
"4413","“Well, I reck’n he _did!_ Dey warn’t gwyne to mix you up in it. Mars"
"4414","Buck he loaded up his gun en ’lowed he’s gwyne to fetch home a"
"4415","Shepherdson or bust. Well, dey’ll be plenty un ’m dah, I reck’n, en you"
"4416","bet you he’ll fetch one ef he gits a chanst.”"
"4417",""
"4418","I took up the river road as hard as I could put. By-and-by I begin to"
"4419","hear guns a good ways off. When I come in sight of the log store and"
"4420","the woodpile where the steamboats lands I worked along under the trees"
"4421","and brush till I got to a good place, and then I clumb up into the"
"4422","forks of a cottonwood that was out of reach, and watched. There was a"
"4423","wood-rank four foot high a little ways in front of the tree, and first"
"4424","I was going to hide behind that; but maybe it was luckier I didn’t."
"4425",""
"4426","There was four or five men cavorting around on their horses in the open"
"4427","place before the log store, cussing and yelling, and trying to get at a"
"4428","couple of young chaps that was behind the wood-rank alongside of the"
"4429","steamboat landing; but they couldn’t come it. Every time one of them"
"4430","showed himself on the river side of the woodpile he got shot at. The"
"4431","two boys was squatting back to back behind the pile, so they could"
"4432","watch both ways."
"4433",""
"4434","By-and-by the men stopped cavorting around and yelling. They started"
"4435","riding towards the store; then up gets one of the boys, draws a steady"
"4436","bead over the wood-rank, and drops one of them out of his saddle. All"
"4437","the men jumped off of their horses and grabbed the hurt one and started"
"4438","to carry him to the store; and that minute the two boys started on the"
"4439","run. They got half way to the tree I was in before the men noticed."
"4440","Then the men see them, and jumped on their horses and took out after"
"4441","them. They gained on the boys, but it didn’t do no good, the boys had"
"4442","too good a start; they got to the woodpile that was in front of my"
"4443","tree, and slipped in behind it, and so they had the bulge on the men"
"4444","again. One of the boys was Buck, and the other was a slim young chap"
"4445","about nineteen years old."
"4446",""
"4447","The men ripped around awhile, and then rode away. As soon as they was"
"4448","out of sight I sung out to Buck and told him. He didn’t know what to"
"4449","make of my voice coming out of the tree at first. He was awful"
"4450","surprised. He told me to watch out sharp and let him know when the men"
"4451","come in sight again; said they was up to some devilment or"
"4452","other—wouldn’t be gone long. I wished I was out of that tree, but I"
"4453","dasn’t come down. Buck begun to cry and rip, and ’lowed that him and"
"4454","his cousin Joe (that was the other young chap) would make up for this"
"4455","day yet. He said his father and his two brothers was killed, and two or"
"4456","three of the enemy. Said the Shepherdsons laid for them in ambush. Buck"
"4457","said his father and brothers ought to waited for their relations—the"
"4458","Shepherdsons was too strong for them. I asked him what was become of"
"4459","young Harney and Miss Sophia. He said they’d got across the river and"
"4460","was safe. I was glad of that; but the way Buck did take on because he"
"4461","didn’t manage to kill Harney that day he shot at him—I hain’t ever"
"4462","heard anything like it."
"4463",""
"4464","All of a sudden, bang! bang! bang! goes three or four guns—the men had"
"4465","slipped around through the woods and come in from behind without their"
"4466","horses! The boys jumped for the river—both of them hurt—and as they"
"4467","swum down the current the men run along the bank shooting at them and"
"4468","singing out, “Kill them, kill them!” It made me so sick I most fell out"
"4469","of the tree. I ain’t a-going to tell _all_ that happened—it would make"
"4470","me sick again if I was to do that. I wished I hadn’t ever come ashore"
"4471","that night to see such things. I ain’t ever going to get shut of"
"4472","them—lots of times I dream about them."
"4473",""
"4474","I stayed in the tree till it begun to get dark, afraid to come down."
"4475","Sometimes I heard guns away off in the woods; and twice I seen little"
"4476","gangs of men gallop past the log store with guns; so I reckoned the"
"4477","trouble was still a-going on. I was mighty downhearted; so I made up my"
"4478","mind I wouldn’t ever go anear that house again, because I reckoned I"
"4479","was to blame, somehow. I judged that that piece of paper meant that"
"4480","Miss Sophia was to meet Harney somewheres at half-past two and run off;"
"4481","and I judged I ought to told her father about that paper and the"
"4482","curious way she acted, and then maybe he would a locked her up, and"
"4483","this awful mess wouldn’t ever happened."
"4484",""
"4485","When I got down out of the tree I crept along down the river bank a"
"4486","piece, and found the two bodies laying in the edge of the water, and"
"4487","tugged at them till I got them ashore; then I covered up their faces,"
"4488","and got away as quick as I could. I cried a little when I was covering"
"4489","up Buck’s face, for he was mighty good to me."
"4490",""
"4491","It was just dark now. I never went near the house, but struck through"
"4492","the woods and made for the swamp. Jim warn’t on his island, so I"
"4493","tramped off in a hurry for the crick, and crowded through the willows,"
"4494","red-hot to jump aboard and get out of that awful country. The raft was"
"4495","gone! My souls, but I was scared! I couldn’t get my breath for most a"
"4496","minute. Then I raised a yell. A voice not twenty-five foot from me"
"4497","says:"
"4498",""
"4499","“Good lan’! is dat you, honey? Doan’ make no noise.”"
"4500",""
"4501","It was Jim’s voice—nothing ever sounded so good before. I run along the"
"4502","bank a piece and got aboard, and Jim he grabbed me and hugged me, he"
"4503","was so glad to see me. He says:"
"4504",""
"4505","“Laws bless you, chile, I ’uz right down sho’ you’s dead agin. Jack’s"
"4506","been heah; he say he reck’n you’s ben shot, kase you didn’ come home no"
"4507","mo’; so I’s jes’ dis minute a startin’ de raf’ down towards de mouf er"
"4508","de crick, so’s to be all ready for to shove out en leave soon as Jack"
"4509","comes agin en tells me for certain you _is_ dead. Lawsy, I’s mighty"
"4510","glad to git you back again, honey.”"
"4511",""
"4512","I says:"
"4513",""
"4514","“All right—that’s mighty good; they won’t find me, and they’ll think"
"4515","I’ve been killed, and floated down the river—there’s something up there"
"4516","that ’ll help them think so—so don’t you lose no time, Jim, but just"
"4517","shove off for the big water as fast as ever you can.”"
"4518",""
"4519","I never felt easy till the raft was two mile below there and out in the"
"4520","middle of the Mississippi. Then we hung up our signal lantern, and"
"4521","judged that we was free and safe once more. I hadn’t had a bite to eat"
"4522","since yesterday, so Jim he got out some corn-dodgers and buttermilk,"
"4523","and pork and cabbage and greens—there ain’t nothing in the world so"
"4524","good when it’s cooked right—and whilst I eat my supper we talked and"
"4525","had a good time. I was powerful glad to get away from the feuds, and so"
"4526","was Jim to get away from the swamp. We said there warn’t no home like a"
"4527","raft, after all. Other places do seem so cramped up and smothery, but a"
"4528","raft don’t. You feel mighty free and easy and comfortable on a raft."
"4529",""
"4530",""
"4531",""
"4532",""
"4533","CHAPTER XIX."
"4534",""
"4535",""
"4536","Two or three days and nights went by; I reckon I might say they swum"
"4537","by, they slid along so quiet and smooth and lovely. Here is the way we"
"4538","put in the time. It was a monstrous big river down there—sometimes a"
"4539","mile and a half wide; we run nights, and laid up and hid daytimes; soon"
"4540","as night was most gone we stopped navigating and tied up—nearly always"
"4541","in the dead water under a tow-head; and then cut young cottonwoods and"
"4542","willows, and hid the raft with them. Then we set out the lines. Next we"
"4543","slid into the river and had a swim, so as to freshen up and cool off;"
"4544","then we set down on the sandy bottom where the water was about knee"
"4545","deep, and watched the daylight come. Not a sound anywheres—perfectly"
"4546","still—just like the whole world was asleep, only sometimes the"
"4547","bullfrogs a-cluttering, maybe. The first thing to see, looking away"
"4548","over the water, was a kind of dull line—that was the woods on t’other"
"4549","side; you couldn’t make nothing else out; then a pale place in the sky;"
"4550","then more paleness spreading around; then the river softened up away"
"4551","off, and warn’t black any more, but gray; you could see little dark"
"4552","spots drifting along ever so far away—trading scows, and such things;"
"4553","and long black streaks—rafts; sometimes you could hear a sweep"
"4554","screaking; or jumbled up voices, it was so still, and sounds come so"
"4555","far; and by-and-by you could see a streak on the water which you know"
"4556","by the look of the streak that there’s a snag there in a swift current"
"4557","which breaks on it and makes that streak look that way; and you see the"
"4558","mist curl up off of the water, and the east reddens up, and the river,"
"4559","and you make out a log-cabin in the edge of the woods, away on the bank"
"4560","on t’other side of the river, being a woodyard, likely, and piled by"
"4561","them cheats so you can throw a dog through it anywheres; then the nice"
"4562","breeze springs up, and comes fanning you from over there, so cool and"
"4563","fresh and sweet to smell on account of the woods and the flowers; but"
"4564","sometimes not that way, because they’ve left dead fish laying around,"
"4565","gars and such, and they do get pretty rank; and next you’ve got the"
"4566","full day, and everything smiling in the sun, and the song-birds just"
"4567","going it!"
"4568",""
"4569","A little smoke couldn’t be noticed now, so we would take some fish off"
"4570","of the lines and cook up a hot breakfast. And afterwards we would watch"
"4571","the lonesomeness of the river, and kind of lazy along, and by-and-by"
"4572","lazy off to sleep. Wake up by-and-by, and look to see what done it, and"
"4573","maybe see a steamboat coughing along up-stream, so far off towards the"
"4574","other side you couldn’t tell nothing about her only whether she was a"
"4575","stern-wheel or side-wheel; then for about an hour there wouldn’t be"
"4576","nothing to hear nor nothing to see—just solid lonesomeness. Next you’d"
"4577","see a raft sliding by, away off yonder, and maybe a galoot on it"
"4578","chopping, because they’re most always doing it on a raft; you’d see the"
"4579","axe flash and come down—you don’t hear nothing; you see that axe go up"
"4580","again, and by the time it’s above the man’s head then you hear the"
"4581","_k’chunk!_—it had took all that time to come over the water. So we"
"4582","would put in the day, lazying around, listening to the stillness. Once"
"4583","there was a thick fog, and the rafts and things that went by was"
"4584","beating tin pans so the steamboats wouldn’t run over them. A scow or a"
"4585","raft went by so close we could hear them talking and cussing and"
"4586","laughing—heard them plain; but we couldn’t see no sign of them; it made"
"4587","you feel crawly; it was like spirits carrying on that way in the air."
"4588","Jim said he believed it was spirits; but I says:"
"4589",""
"4590","“No; spirits wouldn’t say, ‘Dern the dern fog.’”"
"4591",""
"4592","Soon as it was night out we shoved; when we got her out to about the"
"4593","middle we let her alone, and let her float wherever the current wanted"
"4594","her to; then we lit the pipes, and dangled our legs in the water, and"
"4595","talked about all kinds of things—we was always naked, day and night,"
"4596","whenever the mosquitoes would let us—the new clothes Buck’s folks made"
"4597","for me was too good to be comfortable, and besides I didn’t go much on"
"4598","clothes, nohow."
"4599",""
"4600","Sometimes we’d have that whole river all to ourselves for the longest"
"4601","time. Yonder was the banks and the islands, across the water; and maybe"
"4602","a spark—which was a candle in a cabin window; and sometimes on the"
"4603","water you could see a spark or two—on a raft or a scow, you know; and"
"4604","maybe you could hear a fiddle or a song coming over from one of them"
"4605","crafts. It’s lovely to live on a raft. We had the sky up there, all"
"4606","speckled with stars, and we used to lay on our backs and look up at"
"4607","them, and discuss about whether they was made or only just happened."
"4608","Jim he allowed they was made, but I allowed they happened; I judged it"
"4609","would have took too long to _make_ so many. Jim said the moon could a"
"4610","_laid_ them; well, that looked kind of reasonable, so I didn’t say"
"4611","nothing against it, because I’ve seen a frog lay most as many, so of"
"4612","course it could be done. We used to watch the stars that fell, too, and"
"4613","see them streak down. Jim allowed they’d got spoiled and was hove out"
"4614","of the nest."
"4615",""
"4616","Once or twice of a night we would see a steamboat slipping along in the"
"4617","dark, and now and then she would belch a whole world of sparks up out"
"4618","of her chimbleys, and they would rain down in the river and look awful"
"4619","pretty; then she would turn a corner and her lights would wink out and"
"4620","her powwow shut off and leave the river still again; and by-and-by her"
"4621","waves would get to us, a long time after she was gone, and joggle the"
"4622","raft a bit, and after that you wouldn’t hear nothing for you couldn’t"
"4623","tell how long, except maybe frogs or something."
"4624",""
"4625","After midnight the people on shore went to bed, and then for two or"
"4626","three hours the shores was black—no more sparks in the cabin windows."
"4627","These sparks was our clock—the first one that showed again meant"
"4628","morning was coming, so we hunted a place to hide and tie up right away."
"4629",""
"4630","One morning about daybreak I found a canoe and crossed over a chute to"
"4631","the main shore—it was only two hundred yards—and paddled about a mile"
"4632","up a crick amongst the cypress woods, to see if I couldn’t get some"
"4633","berries. Just as I was passing a place where a kind of a cowpath"
"4634","crossed the crick, here comes a couple of men tearing up the path as"
"4635","tight as they could foot it. I thought I was a goner, for whenever"
"4636","anybody was after anybody I judged it was _me_—or maybe Jim. I was"
"4637","about to dig out from there in a hurry, but they was pretty close to me"
"4638","then, and sung out and begged me to save their lives—said they hadn’t"
"4639","been doing nothing, and was being chased for it—said there was men and"
"4640","dogs a-coming. They wanted to jump right in, but I says:"
"4641",""
"4642","“Don’t you do it. I don’t hear the dogs and horses yet; you’ve got time"
"4643","to crowd through the brush and get up the crick a little ways; then you"
"4644","take to the water and wade down to me and get in—that’ll throw the dogs"
"4645","off the scent.”"
"4646",""
"4647","They done it, and soon as they was aboard I lit out for our tow-head,"
"4648","and in about five or ten minutes we heard the dogs and the men away"
"4649","off, shouting. We heard them come along towards the crick, but couldn’t"
"4650","see them; they seemed to stop and fool around a while; then, as we got"
"4651","further and further away all the time, we couldn’t hardly hear them at"
"4652","all; by the time we had left a mile of woods behind us and struck the"
"4653","river, everything was quiet, and we paddled over to the tow-head and hid"
"4654","in the cottonwoods and was safe."
"4655",""
"4656","One of these fellows was about seventy or upwards, and had a bald head"
"4657","and very gray whiskers. He had an old battered-up slouch hat on, and a"
"4658","greasy blue woollen shirt, and ragged old blue jeans britches stuffed"
"4659","into his boot-tops, and home-knit galluses—no, he only had one. He had"
"4660","an old long-tailed blue jeans coat with slick brass buttons flung over"
"4661","his arm, and both of them had big, fat, ratty-looking carpet-bags."
"4662",""
"4663","The other fellow was about thirty, and dressed about as ornery. After"
"4664","breakfast we all laid off and talked, and the first thing that come out"
"4665","was that these chaps didn’t know one another."
"4666",""
"4667","“What got you into trouble?” says the baldhead to t’other chap."
"4668",""
"4669","“Well, I’d been selling an article to take the tartar off the teeth—and"
"4670","it does take it off, too, and generly the enamel along with it—but I"
"4671","stayed about one night longer than I ought to, and was just in the act"
"4672","of sliding out when I ran across you on the trail this side of town,"
"4673","and you told me they were coming, and begged me to help you to get off."
"4674","So I told you I was expecting trouble myself, and would scatter out"
"4675","_with_ you. That’s the whole yarn—what’s yourn?"
"4676",""
"4677","“Well, I’d ben a-running’ a little temperance revival thar ’bout a"
"4678","week, and was the pet of the women folks, big and little, for I was"
"4679","makin’ it mighty warm for the rummies, I _tell_ you, and takin’ as much"
"4680","as five or six dollars a night—ten cents a head, children and niggers"
"4681","free—and business a-growin’ all the time, when somehow or another a"
"4682","little report got around last night that I had a way of puttin’ in my"
"4683","time with a private jug on the sly. A nigger rousted me out this"
"4684","mornin’, and told me the people was getherin’ on the quiet with their"
"4685","dogs and horses, and they’d be along pretty soon and give me ’bout half"
"4686","an hour’s start, and then run me down if they could; and if they got me"
"4687","they’d tar and feather me and ride me on a rail, sure. I didn’t wait"
"4688","for no breakfast—I warn’t hungry.”"
"4689",""
"4690","“Old man,” said the young one, “I reckon we might double-team it"
"4691","together; what do you think?”"
"4692",""
"4693","“I ain’t undisposed. What’s your line—mainly?”"
"4694",""
"4695","“Jour printer by trade; do a little in patent medicines;"
"4696","theater-actor—tragedy, you know; take a turn to mesmerism and"
"4697","phrenology when there’s a chance; teach singing-geography school for a"
"4698","change; sling a lecture sometimes—oh, I do lots of things—most anything"
"4699","that comes handy, so it ain’t work. What’s your lay?”"
"4700",""
"4701","“I’ve done considerble in the doctoring way in my time. Layin’ on o’"
"4702","hands is my best holt—for cancer and paralysis, and sich things; and I"
"4703","k’n tell a fortune pretty good when I’ve got somebody along to find out"
"4704","the facts for me. Preachin’s my line, too, and workin’ camp-meetin’s,"
"4705","and missionaryin’ around.”"
"4706",""
"4707","Nobody never said anything for a while; then the young man hove a sigh"
"4708","and says:"
"4709",""
"4710","“Alas!”"
"4711",""
"4712","“What ’re you alassin’ about?” says the bald-head."
"4713",""
"4714","“To think I should have lived to be leading such a life, and be"
"4715","degraded down into such company.” And he begun to wipe the corner of"
"4716","his eye with a rag."
"4717",""
"4718","“Dern your skin, ain’t the company good enough for you?” says the"
"4719","baldhead, pretty pert and uppish."
"4720",""
"4721","“Yes, it _is_ good enough for me; it’s as good as I deserve; for who"
"4722","fetched me so low when I was so high? _I_ did myself. I don’t blame"
"4723","_you_, gentlemen—far from it; I don’t blame anybody. I deserve it all."
"4724","Let the cold world do its worst; one thing I know—there’s a grave"
"4725","somewhere for me. The world may go on just as it’s always done, and"
"4726","take everything from me—loved ones, property, everything; but it can’t"
"4727","take that. Some day I’ll lie down in it and forget it all, and my poor"
"4728","broken heart will be at rest.” He went on a-wiping."
"4729",""
"4730","“Drot your pore broken heart,” says the baldhead; “what are you heaving"
"4731","your pore broken heart at _us_ f’r? _We_ hain’t done nothing.”"
"4732",""
"4733","“No, I know you haven’t. I ain’t blaming you, gentlemen. I brought"
"4734","myself down—yes, I did it myself. It’s right I should suffer—perfectly"
"4735","right—I don’t make any moan.”"
"4736",""
"4737","“Brought you down from whar? Whar was you brought down from?”"
"4738",""
"4739","“Ah, you would not believe me; the world never believes—let it"
"4740","pass—’tis no matter. The secret of my birth—”"
"4741",""
"4742","“The secret of your birth! Do you mean to say—”"
"4743",""
"4744","“Gentlemen,” says the young man, very solemn, “I will reveal it to you,"
"4745","for I feel I may have confidence in you. By rights I am a duke!”"
"4746",""
"4747","Jim’s eyes bugged out when he heard that; and I reckon mine did, too."
"4748","Then the baldhead says: “No! you can’t mean it?”"
"4749",""
"4750","“Yes. My great-grandfather, eldest son of the Duke of Bridgewater, fled"
"4751","to this country about the end of the last century, to breathe the pure"
"4752","air of freedom; married here, and died, leaving a son, his own father"
"4753","dying about the same time. The second son of the late duke seized the"
"4754","titles and estates—the infant real duke was ignored. I am the lineal"
"4755","descendant of that infant—I am the rightful Duke of Bridgewater; and"
"4756","here am I, forlorn, torn from my high estate, hunted of men, despised"
"4757","by the cold world, ragged, worn, heart-broken, and degraded to the"
"4758","companionship of felons on a raft!”"
"4759",""
"4760","Jim pitied him ever so much, and so did I. We tried to comfort him, but"
"4761","he said it warn’t much use, he couldn’t be much comforted; said if we"
"4762","was a mind to acknowledge him, that would do him more good than most"
"4763","anything else; so we said we would, if he would tell us how. He said we"
"4764","ought to bow when we spoke to him, and say “Your Grace,” or “My Lord,”"
"4765","or “Your Lordship”—and he wouldn’t mind it if we called him plain"
"4766","“Bridgewater,” which, he said, was a title anyway, and not a name; and"
"4767","one of us ought to wait on him at dinner, and do any little thing for"
"4768","him he wanted done."
"4769",""
"4770","Well, that was all easy, so we done it. All through dinner Jim stood"
"4771","around and waited on him, and says, “Will yo’ Grace have some o’ dis or"
"4772","some o’ dat?” and so on, and a body could see it was mighty pleasing to"
"4773","him."
"4774",""
"4775","But the old man got pretty silent by-and-by—didn’t have much to say,"
"4776","and didn’t look pretty comfortable over all that petting that was going"
"4777","on around that duke. He seemed to have something on his mind. So, along"
"4778","in the afternoon, he says:"
"4779",""
"4780","“Looky here, Bilgewater,” he says, “I’m nation sorry for you, but you"
"4781","ain’t the only person that’s had troubles like that.”"
"4782",""
"4783","“No?”"
"4784",""
"4785","“No you ain’t. You ain’t the only person that’s ben snaked down"
"4786","wrongfully out’n a high place.”"
"4787",""
"4788","“Alas!”"
"4789",""
"4790","“No, you ain’t the only person that’s had a secret of his birth.” And,"
"4791","by jings, _he_ begins to cry."
"4792",""
"4793","“Hold! What do you mean?”"
"4794",""
"4795","“Bilgewater, kin I trust you?” says the old man, still sort of sobbing."
"4796",""
"4797","“To the bitter death!” He took the old man by the hand and squeezed it,"
"4798","and says, “That secret of your being: speak!”"
"4799",""
"4800","“Bilgewater, I am the late Dauphin!”"
"4801",""
"4802","You bet you, Jim and me stared this time. Then the duke says:"
"4803",""
"4804","“You are what?”"
"4805",""
"4806","“Yes, my friend, it is too true—your eyes is lookin’ at this very"
"4807","moment on the pore disappeared Dauphin, Looy the Seventeen, son of Looy"
"4808","the Sixteen and Marry Antonette.”"
"4809",""
"4810","“You! At your age! No! You mean you’re the late Charlemagne; you must"
"4811","be six or seven hundred years old, at the very least.”"
"4812",""
"4813","“Trouble has done it, Bilgewater, trouble has done it; trouble has"
"4814","brung these gray hairs and this premature balditude. Yes, gentlemen,"
"4815","you see before you, in blue jeans and misery, the wanderin’, exiled,"
"4816","trampled-on, and sufferin’ rightful King of France.”"
"4817",""
"4818","Well, he cried and took on so that me and Jim didn’t know hardly what"
"4819","to do, we was so sorry—and so glad and proud we’d got him with us, too."
"4820","So we set in, like we done before with the duke, and tried to comfort"
"4821","_him_. But he said it warn’t no use, nothing but to be dead and done"
"4822","with it all could do him any good; though he said it often made him"
"4823","feel easier and better for a while if people treated him according to"
"4824","his rights, and got down on one knee to speak to him, and always called"
"4825","him “Your Majesty,” and waited on him first at meals, and didn’t set"
"4826","down in his presence till he asked them. So Jim and me set to"
"4827","majestying him, and doing this and that and t’other for him, and"
"4828","standing up till he told us we might set down. This done him heaps of"
"4829","good, and so he got cheerful and comfortable. But the duke kind of"
"4830","soured on him, and didn’t look a bit satisfied with the way things was"
"4831","going; still, the king acted real friendly towards him, and said the"
"4832","duke’s great-grandfather and all the other Dukes of Bilgewater was a"
"4833","good deal thought of by _his_ father, and was allowed to come to the"
"4834","palace considerable; but the duke stayed huffy a good while, till"
"4835","by-and-by the king says:"
"4836",""
"4837","“Like as not we got to be together a blamed long time on this h-yer"
"4838","raft, Bilgewater, and so what’s the use o’ your bein’ sour? It ’ll only"
"4839","make things oncomfortable. It ain’t my fault I warn’t born a duke, it"
"4840","ain’t your fault you warn’t born a king—so what’s the use to worry?"
"4841","Make the best o’ things the way you find ’em, says I—that’s my motto."
"4842","This ain’t no bad thing that we’ve struck here—plenty grub and an easy"
"4843","life—come, give us your hand, duke, and le’s all be friends.”"
"4844",""
"4845","The duke done it, and Jim and me was pretty glad to see it. It took"
"4846","away all the uncomfortableness and we felt mighty good over it, because"
"4847","it would a been a miserable business to have any unfriendliness on the"
"4848","raft; for what you want, above all things, on a raft, is for everybody"
"4849","to be satisfied, and feel right and kind towards the others."
"4850",""
"4851","It didn’t take me long to make up my mind that these liars warn’t no"
"4852","kings nor dukes at all, but just low-down humbugs and frauds. But I"
"4853","never said nothing, never let on; kept it to myself; it’s the best way;"
"4854","then you don’t have no quarrels, and don’t get into no trouble. If they"
"4855","wanted us to call them kings and dukes, I hadn’t no objections, ’long"
"4856","as it would keep peace in the family; and it warn’t no use to tell Jim,"
"4857","so I didn’t tell him. If I never learnt nothing else out of pap, I"
"4858","learnt that the best way to get along with his kind of people is to let"
"4859","them have their own way."
"4860",""
"4861",""
"4862",""
"4863",""
"4864","CHAPTER XX."
"4865",""
"4866",""
"4867","They asked us considerable many questions; wanted to know what we"
"4868","covered up the raft that way for, and laid by in the daytime instead of"
"4869","running—was Jim a runaway nigger? Says I:"
"4870",""
"4871","“Goodness sakes! would a runaway nigger run _south?_”"
"4872",""
"4873","No, they allowed he wouldn’t. I had to account for things some way, so"
"4874","I says:"
"4875",""
"4876","“My folks was living in Pike County, in Missouri, where I was born, and"
"4877","they all died off but me and pa and my brother Ike. Pa, he ’lowed he’d"
"4878","break up and go down and live with Uncle Ben, who’s got a little"
"4879","one-horse place on the river, forty-four mile below Orleans. Pa was"
"4880","pretty poor, and had some debts; so when he’d squared up there warn’t"
"4881","nothing left but sixteen dollars and our nigger, Jim. That warn’t"
"4882","enough to take us fourteen hundred mile, deck passage nor no other way."
"4883","Well, when the river rose pa had a streak of luck one day; he ketched"
"4884","this piece of a raft; so we reckoned we’d go down to Orleans on it."
"4885","Pa’s luck didn’t hold out; a steamboat run over the forrard corner of"
"4886","the raft one night, and we all went overboard and dove under the wheel;"
"4887","Jim and me come up all right, but pa was drunk, and Ike was only four"
"4888","years old, so they never come up no more. Well, for the next day or two"
"4889","we had considerable trouble, because people was always coming out in"
"4890","skiffs and trying to take Jim away from me, saying they believed he was"
"4891","a runaway nigger. We don’t run daytimes no more now; nights they don’t"
"4892","bother us.”"
"4893",""
"4894","The duke says:"
"4895",""
"4896","“Leave me alone to cipher out a way so we can run in the daytime if we"
"4897","want to. I’ll think the thing over—I’ll invent a plan that’ll fix it."
"4898","We’ll let it alone for to-day, because of course we don’t want to go by"
"4899","that town yonder in daylight—it mightn’t be healthy.”"
"4900",""
"4901","Towards night it begun to darken up and look like rain; the heat"
